OpenTime,Open,High,Low,Close,Volume
2026-02-09 09:39:00,2038.81,2039.99,2037.18,2038.67,504.8973
2026-02-09 09:40:00,2038.66,2040.29,2037.48,2037.87,288.3725
2026-02-09 09:41:00,2037.87,2038.55,2036.14,2036.5,251.4668
2026-02-09 09:42:00,2036.49,2039.66,2036.29,2039.4,337.2219
2026-02-09 09:43:00,2039.39,2039.97,2037.9,2039.32,293.1678
2026-02-09 09:44:00,2039.33,2041.4,2039.33,2040.8,455.309
2026-02-09 09:45:00,2040.82,2040.88,2039.4,2040.36,220.0167
2026-02-09 09:46:00,2040.37,2042.5,2040.37,2041.89,404.3394
2026-02-09 09:47:00,2041.89,2041.89,2040.57,2041.06,343.5446
2026-02-09 09:48:00,2041.06,2042.85,2041.06,2042.36,204.3424
2026-02-09 09:49:00,2042.35,2042.36,2040.81,2041.69,409.8912
2026-02-09 09:50:00,2041.69,2041.89,2037.99,2037.99,520.3398
2026-02-09 09:51:00,2037.99,2038.29,2036.05,2037.64,586.3057
2026-02-09 09:52:00,2037.64,2037.87,2036.04,2036.97,379.2344
2026-02-09 09:53:00,2036.96,2036.96,2034.98,2035.78,506.9719
2026-02-09 09:54:00,2035.77,2038.06,2035.75,2037.5,288.3304
2026-02-09 09:55:00,2037.5,2037.5,2034.61,2036.1,539.8144
2026-02-09 09:56:00,2036.1,2038.94,2036.1,2037.97,385.429
2026-02-09 09:57:00,2037.96,2041.09,2037.96,2039.8,433.717
2026-02-09 09:58:00,2039.81,2040.61,2038.84,2039.06,405.3361
2026-02-09 09:59:00,2039.05,2042.49,2038.88,2042.27,170.6713
2026-02-09 10:00:00,2042.27,2042.27,2040.65,2040.89,190.8755
2026-02-09 10:01:00,2040.89,2042.26,2037.38,2038.47,216.8185
2026-02-09 10:02:00,2038.47,2044.1,2038.34,2041.42,375.5257
2026-02-09 10:03:00,2041.41,2042.43,2039.66,2039.78,99.2175
2026-02-09 10:04:00,2039.79,2040.45,2037.08,2037.08,159.7067
2026-02-09 10:05:00,2037.1,2037.56,2035.21,2036.53,306.2112
2026-02-09 10:06:00,2036.53,2038.72,2036.22,2038.54,480.5554
2026-02-09 10:07:00,2038.54,2042.31,2038.53,2042.07,434.3459
2026-02-09 10:08:00,2042.07,2044.71,2042.06,2044.7,760.2648
2026-02-09 10:09:00,2044.7,2045.4,2044.39,2045.32,141.5821
2026-02-09 10:10:00,2045.32,2047.32,2044.73,2044.75,473.511
2026-02-09 10:11:00,2044.75,2046.24,2044.75,2045.12,135.0617
2026-02-09 10:12:00,2045.12,2045.45,2044.56,2044.87,94.7045
2026-02-09 10:13:00,2044.88,2046.81,2044.87,2045.85,238.4595
2026-02-09 10:14:00,2045.86,2045.86,2039.78,2039.78,644.7919
2026-02-09 10:15:00,2039.78,2041.08,2030.0,2031.93,2152.459
2026-02-09 10:16:00,2031.9,2033.6,2030.32,2032.13,435.1886
2026-02-09 10:17:00,2032.13,2032.13,2030.29,2031.21,358.429
2026-02-09 10:18:00,2031.21,2033.6,2031.21,2031.29,202.9686
2026-02-09 10:19:00,2031.28,2035.77,2030.99,2033.97,240.1672
2026-02-09 10:20:00,2033.97,2035.97,2033.28,2033.4,300.7416
2026-02-09 10:21:00,2033.4,2033.4,2030.94,2031.5,399.7108
2026-02-09 10:22:00,2031.51,2033.28,2030.0,2030.56,788.4401
2026-02-09 10:23:00,2030.56,2031.76,2028.56,2030.09,2424.6258
2026-02-09 10:24:00,2030.1,2030.78,2029.18,2029.56,190.2291
2026-02-09 10:25:00,2029.56,2030.63,2029.18,2029.99,108.7477
2026-02-09 10:26:00,2029.99,2030.59,2026.79,2030.03,565.2174
2026-02-09 10:27:00,2030.02,2032.67,2029.51,2030.91,588.8965
2026-02-09 10:28:00,2030.97,2031.77,2026.9,2026.9,257.3818
2026-02-09 10:29:00,2026.9,2028.52,2024.63,2027.9,928.6357
2026-02-09 10:30:00,2027.9,2028.65,2026.56,2027.18,307.4554
2026-02-09 10:31:00,2027.18,2028.28,2023.02,2024.17,561.2937
2026-02-09 10:32:00,2024.18,2025.88,2019.32,2020.43,1405.2464
2026-02-09 10:33:00,2020.45,2024.17,2018.79,2023.28,718.4081
2026-02-09 10:34:00,2023.28,2024.82,2018.82,2020.4,452.7339
2026-02-09 10:35:00,2020.4,2022.91,2019.96,2022.08,302.4702
2026-02-09 10:36:00,2022.08,2023.6,2015.38,2016.02,688.1636
2026-02-09 10:37:00,2016.02,2023.03,2016.02,2023.02,458.8439
2026-02-09 10:38:00,2023.03,2025.0,2020.27,2020.62,717.0235
2026-02-09 10:39:00,2020.62,2022.32,2019.3,2020.38,529.8942
2026-02-09 10:40:00,2020.4,2022.85,2019.11,2019.39,247.803
2026-02-09 10:41:00,2019.39,2020.67,2014.01,2016.3,4507.6515
2026-02-09 10:42:00,2016.29,2017.38,2013.25,2017.38,1310.0214
2026-02-09 10:43:00,2017.38,2019.75,2016.46,2017.34,731.5249
2026-02-09 10:44:00,2017.35,2020.89,2014.84,2020.63,913.6925
2026-02-09 10:45:00,2020.6,2020.79,2018.79,2019.51,314.6155
2026-02-09 10:46:00,2019.57,2023.11,2018.87,2023.11,432.0945
2026-02-09 10:47:00,2023.1,2023.1,2018.34,2018.86,396.0868
2026-02-09 10:48:00,2018.86,2019.39,2016.5,2017.39,197.8031
2026-02-09 10:49:00,2017.4,2020.43,2015.57,2015.98,503.3992
2026-02-09 10:50:00,2015.98,2022.0,2015.98,2022.0,571.2287
2026-02-09 10:51:00,2021.99,2022.96,2020.83,2022.18,133.8446
2026-02-09 10:52:00,2022.17,2024.08,2022.17,2023.71,322.4017
2026-02-09 10:53:00,2023.71,2024.86,2022.75,2022.95,197.8212
2026-02-09 10:54:00,2022.96,2023.24,2022.13,2023.08,163.1485
2026-02-09 10:55:00,2023.09,2024.41,2022.84,2024.15,308.1639
2026-02-09 10:56:00,2024.14,2024.51,2023.28,2023.89,147.046
2026-02-09 10:57:00,2023.89,2024.29,2022.71,2024.0,107.7335
2026-02-09 10:58:00,2024.01,2024.1,2022.09,2022.32,166.0152
2026-02-09 10:59:00,2022.31,2022.85,2022.03,2022.7,184.333
2026-02-09 11:00:00,2022.7,2027.95,2022.7,2027.94,439.2777
2026-02-09 11:01:00,2027.94,2034.9,2026.8,2034.27,1401.6841
2026-02-09 11:02:00,2034.26,2034.42,2032.19,2032.54,418.8588
2026-02-09 11:03:00,2032.54,2036.83,2030.44,2036.14,553.1624
2026-02-09 11:04:00,2036.14,2036.14,2033.54,2034.75,306.1888
2026-02-09 11:05:00,2034.74,2034.78,2033.22,2033.41,111.152
2026-02-09 11:06:00,2033.4,2033.41,2030.0,2031.39,288.1606
2026-02-09 11:07:00,2031.39,2031.91,2030.0,2031.77,560.7842
2026-02-09 11:08:00,2031.77,2031.77,2029.39,2029.79,890.7605
2026-02-09 11:09:00,2029.79,2031.56,2029.79,2031.4,404.0678
2026-02-09 11:10:00,2031.39,2031.39,2029.39,2030.39,466.9646
2026-02-09 11:11:00,2030.38,2031.43,2029.36,2029.44,137.0931
2026-02-09 11:12:00,2029.43,2030.42,2028.07,2028.45,307.0969
2026-02-09 11:13:00,2028.45,2030.13,2027.84,2029.95,245.7021
2026-02-09 11:14:00,2029.95,2029.95,2022.87,2023.13,809.3414
2026-02-09 11:15:00,2023.12,2025.33,2021.81,2022.23,544.9291
2026-02-09 11:16:00,2022.23,2025.31,2021.23,2024.41,207.2196
2026-02-09 11:17:00,2024.41,2025.66,2021.9,2025.66,600.4112
2026-02-09 11:18:00,2025.67,2027.94,2025.57,2027.0,552.7902
2026-02-09 11:19:00,2027.02,2027.02,2024.56,2024.56,298.2131
2026-02-09 11:20:00,2024.56,2026.4,2024.13,2026.39,282.1008
2026-02-09 11:21:00,2026.4,2029.66,2026.26,2029.41,427.526
2026-02-09 11:22:00,2029.41,2030.03,2028.84,2029.89,213.9249
2026-02-09 11:23:00,2029.89,2030.69,2028.74,2028.83,269.428
2026-02-09 11:24:00,2028.82,2029.51,2027.94,2027.94,230.2569
2026-02-09 11:25:00,2027.94,2028.8,2027.89,2028.21,233.8922
2026-02-09 11:26:00,2028.21,2029.52,2028.21,2029.35,362.0345
2026-02-09 11:27:00,2029.35,2030.04,2028.51,2029.7,320.322
2026-02-09 11:28:00,2029.71,2030.18,2028.87,2028.99,104.5659
2026-02-09 11:29:00,2028.99,2029.2,2027.73,2027.74,223.7407
2026-02-09 11:30:00,2027.74,2033.31,2027.74,2033.09,774.8442
2026-02-09 11:31:00,2033.09,2033.09,2027.39,2028.76,646.2938
2026-02-09 11:32:00,2028.76,2028.9,2023.8,2026.11,617.8589
2026-02-09 11:33:00,2026.1,2028.57,2024.82,2024.82,257.9545
2026-02-09 11:34:00,2024.81,2026.02,2024.81,2025.32,142.7232
2026-02-09 11:35:00,2025.32,2027.0,2025.32,2025.64,170.973
2026-02-09 11:36:00,2025.64,2029.05,2025.07,2025.65,588.4675
2026-02-09 11:37:00,2025.65,2026.12,2025.14,2025.28,100.2568
2026-02-09 11:38:00,2025.28,2028.07,2025.28,2028.07,141.2158
2026-02-09 11:39:00,2028.06,2028.4,2027.0,2027.52,159.2621
2026-02-09 11:40:00,2027.53,2028.3,2026.56,2027.97,107.5724
2026-02-09 11:41:00,2027.97,2029.85,2027.97,2029.63,92.1705
2026-02-09 11:42:00,2029.6,2029.6,2028.19,2028.26,77.9229
2026-02-09 11:43:00,2028.27,2029.2,2027.61,2027.99,227.7451
2026-02-09 11:44:00,2027.99,2028.24,2027.44,2027.44,85.5761
2026-02-09 11:45:00,2027.45,2029.4,2027.45,2028.94,86.5723
2026-02-09 11:46:00,2028.94,2028.95,2026.27,2026.37,182.7351
2026-02-09 11:47:00,2026.37,2026.69,2024.81,2025.53,201.3986
2026-02-09 11:48:00,2025.52,2027.46,2024.95,2027.01,115.695
2026-02-09 11:49:00,2027.01,2027.01,2024.14,2025.36,327.2271
